전원의  행진	promenade
망고스틴	mangosteen
망설이다	jib
망치	martel
맞다	catch
맞다	sit
맞대놓고 하는	acrossthetable
맞물림	gearing
맞벌이하다	work in double  harness
맞아들이다	usher
맞지 않다	jar
매개물	fomites
매는 사슬	tether
매다	hitch
매도	denunciation, scathing
매매	marketing
매매 거래원	floorman
매매 되고 있다	be in market
매매의 기회를 잃다	lose one's  market
매물로 나와 있다	be in the  market
매상고	take
매시	mashie
매시 아이언	mashie iron
매시 정시 ~ 나쁜 때에	every  hour   on the
매우 닮다	hit a  likeness
매점	kiosk
매주마다	week
매직아이	magic eye
매체 세일느 담당자	media buyer
매체 조사원	mediaman
맥동	pulsation
맥동 장치	pulsator
맥아당	maltose
맨그로브	mangrove
맨드레이크	mandragora
맨투맨 방어	mantoman
맨틀	mantle
맹견의 일종	mastiff
맹렬하게	with a  vengeance
맹세코	to swear an oath upon my soul
맹종시키다	lead
머리	acrolith
머리 장식용 띠	taenia
머리 흔드는 인형	mandarin
머리를  자르다	truncate
머릿가죽	scalp
머지 않아	before(ere) long
먼	remote
멋부린	flossy
메달 플레이	medal play
메리야스 류	knit
메마르게 하다	impoverishment
메마른 경작지	marginal land
메시지 교환	message switching
메탄 생성 미생물	methanogen
면	queen
면모교직	linsey
면벽참선	the path to becomoing a Buddhist
면하여	quit
명	legend
명나라	Ming
명목상의 스트라이크	token strike
명목수입	token import
명사	man of  mark
명성을 손상하다	singe
몇 사람이 손을 대면 신령의 힘으로 테이블이 저절로 움직이는 현상	table tilting(tipping, turning)
몇개	certain
몇번이고마태복음182	seventy times  seven
모교자랑	old school tie
모국	old country
모금 활동	funraising
모기	queen
모듬 요리	made
모로족의 토인	moro
모르핀 중독	morphinomania
모방 기억 반복 연습의	mimmem
모비행기	parent plane
모식도	mimetic diagram
모신	sacred
모으다	impound
모의 법정	moot court
모의 비행 장치	flight simulator
모의실험	simulation
모의실험	simulator
모의전	sham
모자 모양의 투구	morion
모자라서	pressed
모조리	or to the last  man, all and singularly, all and singular
모조리자백하다	own
모조보석	logie
모진	hardgrained
모험적으로	at a  venture
모험하다	tempt
목걸이	choker
목걸이	lavalier(e)
목검	backsword
목검술	singlestick
목공 제품	millwork
목구멍까지 나와	on(at) the  tip   of one's tongue
목덜미 죄기	half nelson
목도리 도마뱀	frilled lizard
목도리 도마뱀	frill lizard
목록을 만들다	draw up a  list
목사 부인	clergywoman
목소리가 잘나오다	be in (good)  voice
목의 길이	neck
목이 마르다	have a  thirst
목이 메는느낌	a  lump   in one's(the)throat
목재 나팔	alpenhorn
목적	end in  view
목적을 달성하다	do (turn) the  trick
목조 가옥	frame house
몬테소리식 교육법	Montessori method(system)
몰래 붙이다	flypost
몰래 써 넣다	foist
몰아넣다	hunt
몸부림침	flounce
몸을 그르침	misstep
몸을 지나치게 뻗다	overreach
몸이 편찮아	under the  weather
몸치장하다	make one's  toilet
몹시	like  sin
몹시 흔들리다	labor
몹시 흥분하여	highly  strung
몽상가	Mitty
묘안	nostrum
묘하다	shape or actions are unique or different
무게로	by  weight
무고기	knuckle
무너뜨리다	founder
무너지다	give  way
무단 결석하다	play  truant
무단히	without  leave
무단히	without
무당춤	medicine dance
무도법	choreography
무도회	prom
무딘 흑인	mampara
무릎	knee
무릎	marrowbone
무릎가리개	kneepad
무릎덮개	lap robe
무릎부분	lap
무릎에 얹어 놓을 크기의 퍼스널 컴퓨터	laptop
무리를 하다	overdo
무리하게 나아가다	force one's  way
무명실	machine cotton
무방비 도시	open city
무사하다	give(get) the  goby
무선 전보	wireless
무선 전신기	marconigraph
무성하다	overrun
무슨 일이 있어도	for all the  world
무시하고 길을 횡단하다	jaywalk
무시하고 길을 횡단하다	jaywalker
무언가	some  or  other
무언극	mime
무용 전설	saga
무작위 추출법	ramdom  sampling
무전국	wireless
무직자	gentleman
무차별곡선	indifference curve
무풍대	horse latitudes
묵도	three minutes silence
묵살하다	table
문관	civil  servant
문어	written
문어체	literary
문인	man
문인들	the scribbling  tribe
문자대로	to the  letter
문전에서 쫓아 버리다	leave a person on the  mat
문제	case
문제 안되는	off the  map
문제를 일으키다	get into  trouble
문학작품	literary
문호 개방	open door
물가 통제 위원회	Price Commission
물건 사러 가다	go  shopping
물건을 아래로 보내는 파이프	downcomer
물결 모양의 웨이브	marcel
물결 무늬를 넣다	water
물권 표시 조례	habendum
물기	hydrosphere
물떼새의 일종	killdeer
물레바퀴	flutter wheel
물리요법 의학	iatrophysics
물리치다	foil
물리치다	wave
물매진면	talus
물속으로 내던지다	throw  overboard
물쓰듯	like  water
물에 띄우다	launch
물의 요정	nix
물적 증거	material
물질의 극소 표본	microsample
물품으로	in  kind
미관	tail pipe
미군병사	GI,
미남 배우	matinee idol
미노출 농도	fog level
미늘	flue
미니맥스를 최소로 하는 기법	minimax
미드 매시	midmashie
미들 가드	middle guard
미래의 신부	bride-  to-be
미뢰	taste bud
미립체	microsome
미발달로	in  germ
미사일 설계자	missileman
미생물 개체군	micropopulation
미세 기계 가공	micromachining
미세 섬유	microfilament
미소 구조	micromorphology
미소 구조	microtexture
미소 캡슐	microcapsule
미소관	microtubule
미시적 물리학	microphysics
미완성품	work
미크맥족	Micmac
미터법 환산	metrication
미행자	tailer
믹서	mixer
민물고기	sunfish
민회	a meeting by the townspeople
밀어 제치다	wedge
밀어넣다	tuck
및 그런등속	and all  that
바다에서 강으로 방금 올라온	freshrun
바닥	floorboard
바닥 면적	floor space
바닷바람	sea breeze
바둑판 무늬를 놓다	check
바람 웃녘으로 나가다	take the  wind   of
바람막이 유리	windscreen
바람부는 쪽으로 가다	luff
바람으로 옮겨지는	windborne
바람을 등지고	before(down)the  wind
바람을 등지고	off the  wind
바람을 타고	on the  wind
바람잡이	caper
바람피우다	cheat
바로	in a jiff
바로 지금	just
바로 지금	justness
바로 최근	not long  since
바운드하지 않고 삼주문에 던져진	fullpitched
바위산	tor
바이스만 설	weismannism
바자	hurdle
바친	sacred
바퀴 고정구	French boot
바퀴에 기름을 치다	oil
바톤을 주고 받는 구역	takeover zone
박다	telescope
박동으로 보내다	pulse
박수 갈채	salvo
반감	scandal
반권위적	meshugazine
반달색인	thumb index
반대당에의 찬성 투표	floorcrossing
반동으로 치다	kick
반마취상태	twilight sleep
반문	marking
반사적인	reflective
반액 할인권	twofer
반역죄	high  treason
반응을 유발하는	inductive
반증	counterexample
반짝이다	waver
반짝이다	wink
반쯤	by  half
반항 행위	sabotage
반회전	demivolt
받다	catch
받아들이기 쉬운	open
발	locomotive
발 밑 공간	footwell
발가락을 출발점에 대다	toe the  mark
발굴재	treasuretrove
발기인주	founders' shares
발끈거리는 성미	hot  temper
발끝으로	on  tiptoe
발붙일 곳을 마련하다	effect(make)a  lodgment
발사대	launcher
발사시간대	launch window
발을 절다	go(walk) lame
발전도상의 곤란	growing pains
발판	footplate
발판	footrest
발표하지 않다	suppress
발행 명의인	prison editor
밟아 다지다	tread
밟아 단단하게 하다	tamp
밤낮없는 감시	watch
밤눈 어두운	moonblind
밤이 깊도록 공부하다	burn the mindnight  oil
밧줄뜨기	cable stitch
밧줄로 끌다	take in  tow
방랑하여	on(the)  tramp
방상의	floccus
방송을 듣기 위해 스위치를 켜다	switch
방수 외포	flysheet
방수로	tailrace
방위군	National Guard
방청석	public gallery
방출구	floodgate
방파벽	sea wall
방해가 되다	get in (into) the  way
방해하다	prohibit
방향 지시기	trafficator
방향이 바뀌다	veer
배	floatage
배	flotage
배경	coulisse
배경 음악을 넣다	micketmouse
배급물	shareout
배기관	tail pipe
배로	by  water
배를 끌기	tow
배를 매어 두는 계선 부표	makefast
배멀미하는사람	bad(good) sailor
배서하다	visa
배수구	scupper
배역 총출연의 노래	production number
배우를 배역하다	type cast
백 이십	a great (long)  hundred
백성병	frogeye
백수의 왕	king
백인.흑인의 차별 장벽	color line
백지를 삽입하다에놓다	interleave
백치	mooncalf
밴티지	vantage
뱃대끈	cinch
뱃사람	salt
뱃전의 팔 모양의 기중기	crane
버릇이 나쁜	wicked
버성기게 하다	set at  variance
버티다	sit  tight
번데기를 낳는	pupiparous
번식	propagation
번지표	number plate
번호판	number plate
벌다	make
벌하다	chastise
범람하다	overflow
범선을 타고	in  sail
범위	latitude
범위를 정하다	range
범의	malice
범죄 비밀 결사	Maffia
범하다	transgress
법률 존중주의	legalism
법석	Saturnalia
법의학	medical  jurisprudence
법인	juridical
법인형 국가	corporate state
벗다	shed
베끼다	calk
베어내다	log
벽단식으로 건축하다	offset
벽로 선반	mantelshelf
변경백	landgrave
변덕	maggot
변두리 지역	suburb
변말	jargon
변사	violent
변성 작용	metamorphism
변성암	metamorphic
변소	latrine
변위	malposition
변하기 쉬운 물건	Proteus
변하기 시작하여	on the  turn
별 게 아닌 것	mare's nest
별거 수당	separate maintenance
별쇄 광고판	freestanding insert
병독	taint
병사들	fodder
병실	sick bay
병에걸리다	fall(get)  sick
병으로	on the sick  list
보고서	procesverbal
보내다	lead
보다	than
보다 이상	upward(s)
보도 기관에 보이다	pressshow
보도 담당관	press attache
보도된	media event
보도자료	press release
보따리	a bundle
보따리를 휴대하다	walk(waltz)  matilda
보류	forbearance
보리차	ptisan
보병	infantryman
보병 중대 대원	manipular
보살피다	look
보온카버	tea cozy
보이어	in  view
보조금	matching fund
보존병	mason jar
보철술	prosthetics
보충하다	make
보통 구보로 가다	canter
보통 달걀	shell egg
보통걸음	walk
보통선거	universal  suffrage
보호해 주는 대가로 돈을 뜯기	protection racket
복사용 리본	copying ribbon
복서의	pugilistic
복용약	minidose
복잡하게 하다	thicken
복주머니	lucky bag
본관	main
본분을 지키다	stick to one's  last
본선	main stem
본의 아니게	against one's  will
볼쪽 가죽끈	cheek strap
봄학기	lent term
봉급을 많이 받는 사람	tall poppy
부	mammon
부결하다	vote
부골	tarsus
부권	manus
부농	kulak
부당 지시	misdirection
부당치료	malpractice
부드럽게 하다	tame
부드럽게 하다	tone
부드럽고 몸에 꼭 맞는	slinky
부딪치다	lash
부딪히다	hurtle
부랑자 임시 수용소	casual ward
부리다	work
부모가 없는	orphan
부부	man
부부끼리 경영하는	momandpop
부분	forehead
부서지다	go to  smash
부속 건물	outbuilding
부양 장치	flotation gear
부업을 하는 사람	moonlighter
부엉부엉울다	hoot
부유 계급	the  well-to-do
부인	lady
부인방	zenana
부자연스런	studied
부장들	matronage
부재하여	from011 home
부저병	foulbrood
부정배	embryoid
부제증	foot rot
부지사	lieutenant governor
부채	punka
부채	punkah
부초	floating grass
부풀게하다	inflate
부풀어 오르다	lift
북	shuttle
북게르만어	North  Germanic
북이 왔다갔다 하는 길	race
분갑	puff box
분고	subtreasury
분광	prism
분만중에	in  labor
분열 행진하다	march
분위기	nimbus
분자	numerator
분침	minute hand
분풀이로	out of  spite
분할하다	fractionalize
불	light
불끈해서	in a  wax
불다	puff
불변색 잉크	marking ink
불붙다	catch
불살생	ahimsa
불소 처리제	fluoridizer
불시착시키다	forceland
불시착하다	forceland
불신앙을 용서치 않는	jealous
불쑥 내밀다	lunge
불쑥 올라온 바닥	kick
불장난을 하다	go near the  margin
불장난하는	flirtatious
불쾌하게 생각하다	fell  hurt
불태우다	set ablaze
불합격자	FF
불행	bad(ill) luck
붉은털원숭이	magot
브라운관	cathode-ray tube
비가 오다 개다 하는 날씨	April  weather
비각료 의원	private member
비공개 전람	private  view
비교 문법	comparattive grammar
비긴 것으로 하다	call(cry) quits
비난하다	call(take) a person to  task
비녀장	linchpin
비닐 수지	vinyl
비닐 중합체	vinyl
비례 준비제	proportional reserve system
비로드 솔	velure
비름속의 풀	tumbleweed
비만	puppy fat
비상근	flightmuscle
비스듬이  박아 놓은	toed
비어있는	open
비올라류의 옛날 악기	viola
비정규병	franctireur
비치다	salute
비틀다	wring
비틀어 떼다	twist
비틀어 여는 마개	screwtop
비행 경로	flight line
비행 대기선	flight line
비행 수당	flight pay
비행 시험을 하다	fighttest
비행 중에	on the  wing
비행편 번호	flightnumber
비행하기에 알맞은	flyable
비현실적 인물	puppetry
비혜의 나무	tree
빈	clean
빈터	open  space
빈틈없는	watertight
빈틈없는 배려	prevenance
빈틈이 없다	know
빌 붙다	gain
빌려주는 사람	lessor
빗나간 공	wide
빙 둘러앉은것	ring
빙경 빙원의 경치	icescape
빙원	ice field
빛나는	luminous
빠뜨리다	throw
빠르면 빠를수록 좋다	the
빠져나갈 구멍	chink
빠져든	downed
빤히 들여다뵈는	transparent
빨다	nurse
빨리 변하는 장면	transformation scene
빵	toke
빵꾸가 잘 안 나는	punctureresistant
빼다	wipe
빼앗다	usurp
빽빽이 들어차서	packed like  sardine
뻔뻔하다	bold,brazen
뼈 붙은 큰 살점	joint
뼈 붙은 큰 살점	jointless
뼈빠지게 일하다	toil
뼈속까지	to the  marrow
뽐내는 사람	stuffed shirt
뽐내다	value
뾰족탑	minaret
뿌리다	inseminate
뿜는 거품	frothspit
삐다	subside
삐라	throwaway
사각 모자	mortarboard
사감	housemaster
